(0.5179225479264632, 1, (0.001, 0.0001))
(0.5174042196473982, 1, (0.001, 5e-05))
(0.5155147677235644, 1, (0.0005, 0.0001))
(0.5155021291571734, 4, (0.0005, 0.0005))
(0.5154996423478423, 1, (0.0005, 5e-05))
(0.5147649344660128, 0, (0.001, 0.0005))
(0.5114131398185261, 0, (0.0005, 0.001))
(0.5078445011835313, 0, (0.005, 5e-05))
(0.506351321376034, 3, (0.01, 5e-05))
(0.5061946092348653, 1, (0.001, 0.001))
(0.5030639062698139, 0, (0.005, 0.0001))
(0.490825584761879, 3, (0.01, 0.0001))
(0.4886667520065796, 32, (0.005, 0.001))
(0.4826496370483879, 17, (0.005, 0.0005))
(0.4769904269407761, 31, (0.01, 0.0005))
(0.448065891272145, 23, (0.01, 0.001))

(0.520840838801913, 1, (0.7000000000000001, 0.5))
(0.5193026467940357, 2, (0.9, 0.9))
(0.5191738139046609, 0, (0.30000000000000004, 0.30000000000000004))
(0.5190925162074564, 1, (0.9, 0.8))
(0.5187426714616439, 1, (0.9, 0.7000000000000001))
(0.5184008783579851, 0, (0.30000000000000004, 0.1))
(0.5182418764847108, 1, (0.6, 0.30000000000000004))
(0.5181653931845875, 0, (0.2, 0.1))
(0.5181064265498212, 0, (0.30000000000000004, 0.2))
(0.5180064415759679, 1, (0.7000000000000001, 0.4))
(0.5180050775145714, 1, (0.6, 0.4))
(0.5179301255138222, 0, (0.1, 0.1))
(0.5178402908914318, 0, (0.1, 0.2))
(0.5177455323403555, 0, (0.2, 0.30000000000000004))
(0.5177062579627804, 4, (0.6, 0.9))
(0.5176630370026221, 0, (0.4, 0.2))
(0.517653538222441, 0, (0.5, 0.2))
(0.5175101580385602, 2, (0.8, 0.7000000000000001))
(0.5174306183647415, 1, (0.6, 0.5))
(0.5174134050940131, 0, (0.2, 0.2))
(0.517403144063358, 1, (0.6, 0.2))
(0.5173383316424338, 0, (0.2, 0.4))
(0.5173151979292164, 1, (0.7000000000000001, 0.6))
(0.5170950912306711, 0, (0.9, 0.6))
(0.5169961762132135, 2, (0.8, 0.8))
(0.5169305916226953, 0, (0.4, 0.30000000000000004))
(0.5169202880642654, 0, (0.1, 0.4))
(0.5168432632345504, 3, (0.8, 0.9))
(0.5167786868242418, 1, (0.9, 0.5))
(0.5166253455505502, 0, (0.4, 0.4))
(0.5164576623908266, 0, (0.5, 0.30000000000000004))
(0.5164227075180372, 1, (0.5, 0.4))
(0.5163850447917899, 0, (0.7000000000000001, 0.2))
(0.5163209103262788, 2, (0.8, 0.6))
(0.516112138737489, 4, (0.8, 0.4))
(0.515862476313244, 0, (0.30000000000000004, 0.4))
(0.5158161639099967, 0, (0.7000000000000001, 0.30000000000000004))
(0.5157910752589742, 0, (0.1, 0.30000000000000004))
(0.5155726387181307, 3, (0.7000000000000001, 0.7000000000000001))
(0.5155353475595547, 4, (0.7000000000000001, 0.8))
(0.5152451935506212, 0, (0.8, 0.30000000000000004))
(0.5151976936458162, 1, (0.4, 0.1))
(0.5151805536711848, 0, (0.4, 0.5))
(0.5151638898460699, 2, (0.7000000000000001, 0.9))
(0.5150816703167661, 1, (0.8, 0.5))
(0.5148159854902016, 1, (0.5, 0.5))
(0.5147288163908714, 2, (0.6, 0.8))
(0.5145559917961672, 0, (0.2, 0.5))
(0.5144608442200836, 1, (0.6, 0.6))
(0.5142593487052819, 0, (0.6, 0.7000000000000001))
(0.5142229894295225, 3, (0.30000000000000004, 0.6))
(0.5140208644349216, 0, (0.9, 0.4))
(0.5139122210252253, 0, (0.1, 0.6))
(0.5138837365382966, 3, (0.1, 0.7000000000000001))
(0.5137374429893304, 0, (0.1, 0.5))
(0.5136592631831296, 0, (0.30000000000000004, 0.5))
(0.5135530906703911, 1, (0.9, 0.30000000000000004))
(0.5134694851753598, 1, (0.5, 0.6))
(0.5134573393900937, 2, (0.4, 0.8))
(0.5132551863696414, 3, (0.1, 0.8))
(0.5132238788419818, 5, (0.5, 0.8))
(0.5132070554467904, 3, (0.4, 0.7000000000000001))
(0.5131826623701107, 3, (0.4, 0.6))
(0.5130598754879698, 1, (0.5, 0.9))
(0.5129494569442393, 0, (0.5, 0.1))
(0.5129358663958693, 2, (0.30000000000000004, 0.7000000000000001))
(0.512784412685736, 0, (0.2, 0.6))
(0.5125169960123835, 4, (0.30000000000000004, 0.8))
(0.5124728047274972, 2, (0.2, 0.9))
(0.5123217976647808, 2, (0.5, 0.7000000000000001))
(0.5122889567396991, 0, (0.8, 0.2))
(0.5122443067050703, 2, (0.2, 0.8))
(0.512058805596436, 2, (0.4, 0.9))
(0.5118174025610773, 3, (0.2, 0.7000000000000001))
(0.5114909844226687, 2, (0.1, 0.9))
(0.5114566481690062, 0, (0.7000000000000001, 0.1))
(0.5114363736611207, 0, (0.6, 0.1))
(0.5112980140958571, 2, (0.30000000000000004, 0.9))
(0.5110882328212432, 0, (0.9, 0.1))
(0.5086419732260861, 0, (0.9, 0.2))
(0.505015374871427, 0, (0.8, 0.1))
